// This file list the MWL SED 
// ****************** //
// Format: 5 columns with the following informations:
// col1: frequency [Hz]
// col2: err- frequency (when available) [Hz]
// col2: err+ frequency (when available) [Hz]
// col3: vfv [erg/cm2/s]
// col5: vfv err- [erg/cm2/s]
// col4: vfv err+ [erg/cm2/s]
// ****************** //
! Last update 19.06.2018
! Source Name BZB J0809+3455
! Redshift 0.0825 (NED)
! PI: A. Stamerra
! Contact: Elisa Prandini (prandini@pd.infn.it)
// ****************** //
// ****THIS IS THE hystorical DATASET (not CONSIDER WHEN FITTING)************** //
// ****************** //
!- Band		       radio
! Instrument 	       NVSS
! Obs_period 	       49231.5    50508.5	      
! Other_info 
1.4000E09     0.0000E00  0  3.1293E-15   1.0597E-16    1.0597E-16    
!- Band		       radio
! Instrument 	       JVASPOL
! Obs_period 	       
! Other_info 
4.8500E09     0.0000E00 0   6.9937E-15   1.4550E-17 1.4550E-17 
!- Band		       radio
! Instrument 	       FIRST
! Obs_period 	       49078.5    49443.5
! Other_info
1.4000E09     0.0000E00 0   2.4584E-16   2.1000E-18    2.1000E-18    
1.4000E09     0.0000E00 0   2.1680E-15   2.1000E-18    2.1000E-18    
1.4000E09     0.0000E00 0   9.2960E-17   2.1000E-18    2.1000E-18    
1.4000E09     0.0000E00 0   2.0664E-16   2.1000E-18    2.1000E-18    
!- Band		       radio
! Instrument 	       Class
! Obs_period 	       47941.5    47941.5
! Other_info
8.4600E09     0.0000E00  0  1.2868E-14   3.3840E-17    3.3840E-17    
// ****************** //
!- Band		       Optical
! Instrument 	       SDSS7
! Obs_period 	      
! Other_info 
8.4510E14     0.0000E00 0   2.7350E-12   4.9216E-14 4.9216E-14 
6.2890E14     0.0000E00 0   5.6470E-12   2.1775E-14 2.1775E-14 
4.8150E14     0.0000E00 0   9.4146E-12   2.7776E-14 2.7776E-14 
3.9370E14     0.0000E00 0   1.1183E-11   3.1620E-14 3.1620E-14 
3.2860E14     0.0000E00 0   1.2834E-11   6.4190E-14 6.4190E-14 
// ****************** //
!- Band		       Optical
! Instrument 	       SDSS13
! Obs_period 	      
! Other_info 
8.4510E14     0.0000E00 0   2.3513E-12   3.7805E-14 3.7805E-14 
6.2890E14     0.0000E00 0   5.3789E-12   2.0700E-14 2.0700E-14 
4.8150E14     0.0000E00 0   8.7007E-12   2.6057E-14 2.6057E-14 
3.9370E14     0.0000E00 0   1.0218E-11   3.0882E-14 3.0882E-14 
3.2860E14     0.0000E00 0   1.1564E-11   5.8784E-14 5.8784E-14 
// ****************** //
!- Band		       Optical
! Instrument 	       2MASS
! Obs_period 	      
! Other_info 
2.4290E14     0.0000E00  0  7.4826E-12   3.1664E-13 3.1664E-13 
1.8050E14     0.0000E00  0  6.3344E-12   2.8023E-13 2.8023E-13 
1.3900E14     0.0000E00  0  4.7967E-12   1.8001E-13 1.8001E-13 
// ****************** //
!- Band		       many
! Instrument 	       Vizier
! Obs_period 	      
! Other_info 
1.39E+14	0.00E+00	0.00E+00	4.79E-12	1.80E-13	1.80E-13
1.82E+14	0.00E+00	0.00E+00	6.43E-12	2.73E-13	2.73E-13
2.42E+14	0.00E+00	0.00E+00	7.19E-12	2.90E-13	2.90E-13
3.88E+14	0.00E+00	0.00E+00	4.23E-12	3.88E-14	3.88E-14
4.82E+14	0.00E+00	0.00E+00	1.54E-12	1.44E-14	1.44E-14
5.94E+14	0.00E+00	0.00E+00	2.66E-12	5.94E-14	5.94E-14
1.37E+14	0.00E+00	0.00E+00	5.79E-12	1.37E-13	1.37E-13
1.37E+14	0.00E+00	0.00E+00	4.59E-12	1.64E-13	1.64E-13
1.84E+14	0.00E+00	0.00E+00	8.24E-12	4.23E-13	4.23E-13
1.84E+14	0.00E+00	0.00E+00	6.46E-12	2.76E-13	2.76E-13
2.40E+14	0.00E+00	0.00E+00	8.75E-12	2.64E-13	2.64E-13
2.40E+14	0.00E+00	0.00E+00	7.29E-12	3.12E-13	3.12E-13
3.12E+14	0.00E+00	0.00E+00	4.06E-12	1.87E-13	1.87E-13
3.47E+14	0.00E+00	0.00E+00	3.39E-12	6.93E-14	6.93E-14
4.01E+14	0.00E+00	0.00E+00	3.33E-12	4.81E-14	4.81E-14
4.89E+14	0.00E+00	0.00E+00	2.99E-12	5.38E-14	5.38E-14
6.28E+14	0.00E+00	0.00E+00	2.14E-12	2.51E-14	2.51E-14
1.82E+14	0.00E+00	0.00E+00	1.01E-11	5.09E-13	5.09E-13
2.42E+14	0.00E+00	0.00E+00	1.02E-11	4.11E-13	4.11E-13
1.50E+10	0.00E+00	0.00E+00	1.43E-14	1.50E-16	1.50E-16
// ****************** //
!- Band		       many
! Instrument 	       NED
! Obs_period 	      
! Other_info 
